phase,counter,unit,samples,median,p95,max
open every frame,Canvas.BuildBatch,TimeNanoseconds,120,14100,20500,34300
open every frame,Canvas.RenderOverlays,TimeNanoseconds,120,206800,274700,497500
open every frame,GPU Frame Time,TimeNanoseconds,120,3655680,4255232,4560896
open every frame,RivetReach.UI.Rebuild,TimeNanoseconds,120,3589200,4023400,5125300
open every frame,RivetReach.UI.SlotInput,TimeNanoseconds,120,0,0,0
open every frame,RivetReach.UI.RefreshSlots,TimeNanoseconds,120,37400,55800,106700
open every frame,RivetReach.UI.BuildInventoryShell,TimeNanoseconds,120,0,0,0
open every frame,RivetReach.UI.RecipeView,TimeNanoseconds,120,0,0,0
open every frame,RivetReach.UI.RecipeFill,TimeNanoseconds,120,0,0,0
open every frame,RivetReach.UI.HideScreen,TimeNanoseconds,120,1475600,1614200,2032300
open every frame,RivetReach.UI.BindStation,TimeNanoseconds,120,120600,175300,225100
open every frame,RivetReach.UI.RefreshBinding,TimeNanoseconds,120,47900,68000,136100
open every frame,RivetReach.UI.CreateScreen,TimeNanoseconds,120,0,0,0
open every frame,EarlyUpdate.UpdateCanvasRectTransform,TimeNanoseconds,120,6700,8700,21600
open every frame,PostLateUpdate.PlayerUpdateCanvases,TimeNanoseconds,120,2897500,3252600,3740200
open every frame,UIEvents.UpdateCanvasRectTransform,TimeNanoseconds,120,6700,22600,37200
open every frame,UIEvents.AlignCanvasRectTransformWithCamera,TimeNanoseconds,120,100,100,15300
open every frame,UIEvents.WillRenderCanvases,TimeNanoseconds,120,2883200,3244000,3732100
open every frame,PostLateUpdate.PlayerEmitCanvasGeometry,TimeNanoseconds,120,1500,5500,20800
open every frame,UIEvents.CanvasManagerEmitOffScreenGeometry,TimeNanoseconds,120,800,2100,16100
open every frame,UIEvents.CanvasmanagerEmitOnScreenGeometry,TimeNanoseconds,120,200,500,1400
open every frame,UIEvents.CanvasManagerRenderOverlays,TimeNanoseconds,120,29700,44800,56600
