Machinist's Bench: 1100 triangles; 1 renderers; bounds Center: (0.50, 0.48, 0.50), Extents: (0.47, 0.47, 0.44); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.07, 0.50), scale (1.00, 1.00, 1.00)
Workshop Lamp: 1784 triangles; 2 renderers; bounds Center: (0.50, 0.49, 0.51), Extents: (0.45, 0.48, 0.51); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.07, 0.50), scale (1.00, 1.00, 1.00)
Boiler Engine: 3248 triangles; 4 renderers; bounds Center: (0.52, 0.50, 0.53), Extents: (0.47, 0.49, 0.47); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.07, 0.50), scale (1.00, 1.00, 1.00)
Alternator: 3180 triangles; 3 renderers; bounds Center: (0.48, 0.46, 0.54), Extents: (0.47, 0.46, 0.48); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.07, 0.50), scale (1.00, 1.00, 1.00)
Crusher: 4180 triangles; 4 renderers; bounds Center: (0.50, 0.47, 0.51), Extents: (0.50, 0.47, 0.51); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.07, 0.50), scale (1.00, 1.00, 1.00)
Pump: 2892 triangles; 3 renderers; bounds Center: (0.53, 0.37, 0.51), Extents: (0.48, 0.36, 0.51); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.07, 0.50), scale (1.00, 1.00, 1.00)
Drill: 3224 triangles; 3 renderers; bounds Center: (0.53, 0.48, 0.51), Extents: (0.48, 0.48, 0.51); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.07, 0.50), scale (1.00, 1.00, 1.00)
Water Tank: 2396 triangles; 2 renderers; bounds Center: (0.50, 0.49, 0.50), Extents: (0.51, 0.48, 0.44); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.07, 0.50), scale (1.00, 1.00, 1.00)
Extractor: 1932 triangles; 3 renderers; bounds Center: (0.50, 0.30, 0.37), Extents: (0.50, 0.30, 0.37); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.06, 0.50), scale (1.00, 1.00, 1.00)
Inventory Sensor: 732 triangles; 1 renderers; bounds Center: (0.50, 0.25, 0.37), Extents: (0.26, 0.24, 0.37); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.50, 0.06, 0.50), scale (1.00, 1.00, 1.00)
Reinforced Tank Frame: 8064 triangles; 30 renderers; bounds Center: (0.50, 0.50, 0.50), Extents: (0.53, 0.53, 0.53); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.00, 0.00, 1.00), scale (1.00, 1.00, 1.00)
Tank Wall: 8064 triangles; 30 renderers; bounds Center: (0.50, 0.50, 0.50), Extents: (0.53, 0.53, 0.53); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.00, 0.00, 1.00), scale (1.00, 1.00, 1.00)
Reinforced Tank Glass: 7500 triangles; 30 renderers; bounds Center: (0.50, 0.50, 0.50), Extents: (0.53, 0.53, 0.53); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.00, 0.00, 1.00), scale (1.00, 1.00, 1.00)
Tank Controller: 9032 triangles; 32 renderers; bounds Center: (0.50, 0.50, 0.48), Extents: (0.53, 0.53, 0.55); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.00, 0.00, 1.00), scale (1.00, 1.00, 1.00)
Tank Fluid Port: 9008 triangles; 31 renderers; bounds Center: (0.50, 0.50, 0.48), Extents: (0.53, 0.53, 0.55); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.00, 0.00, 1.00), scale (1.00, 1.00, 1.00)
Tank Access Hatch: 8324 triangles; 31 renderers; bounds Center: (0.50, 0.50, 0.48), Extents: (0.53, 0.53, 0.56); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.00, 0.00, 1.00), scale (1.00, 1.00, 1.00)
Signal Valve Port: 9232 triangles; 31 renderers; bounds Center: (0.50, 0.50, 0.48), Extents: (0.53, 0.53, 0.55); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.00, 0.00, 1.00), scale (1.00, 1.00, 1.00)
Tank Level Sensor: 8652 triangles; 32 renderers; bounds Center: (0.50, 0.50, 0.49), Extents: (0.53, 0.53, 0.54); root scale (1.00, 1.00, 1.00), rotation (0.00, 0.00, 0.00); first child (0.00, 0.00, 1.00), scale (1.00, 1.00, 1.00)
